Status,Name,Adv,Date,Key,Contents
Hurricane,Georges,10,1998-09-17T21:00:00Z,NA,NA
Hurricane,Georges,11,1998-09-18T03:00:00Z,NA,NA
Hurricane,Georges,12,1998-09-18T09:00:00Z,NA,NA
Hurricane,Georges,13,1998-09-18T15:00:00Z,NA,NA
Hurricane,Georges,14,1998-09-18T21:00:00Z,NA,NA
Hurricane,Georges,14A,1998-09-19T00:00:00Z,NA,NA
Hurricane,Georges,15,1998-09-19T03:00:00Z,NA,NA
Hurricane,Georges,15A,1998-09-19T06:00:00Z,NA,NA
Hurricane,Georges,16,1998-09-19T09:00:00Z,NA,NA
Hurricane,Georges,16A,1998-09-19T12:00:00Z,NA,NA
Hurricane,Georges,17,1998-09-19T15:00:00Z,NA,NA
Hurricane,Georges,17A,1998-09-19T18:00:00Z,NA,NA
Hurricane,Georges,18,1998-09-19T21:00:00Z,NA,NA
Hurricane,Georges,18A,1998-09-20T00:00:00Z,NA,NA
Hurricane,Georges,19,1998-09-20T03:00:00Z,NA,NA
Hurricane,Georges,19A,1998-09-20T06:00:00Z,NA,NA
Hurricane,Georges,20,1998-09-20T09:00:00Z,NA,NA
Hurricane,Georges,20A,1998-09-20T12:00:00Z,NA,NA
Hurricane,Georges,21,1998-09-20T15:00:00Z,NA,NA
Hurricane,Georges,21A,1998-09-20T18:00:00Z,NA,NA
Hurricane,Georges,22,1998-09-20T21:00:00Z,NA,NA
Hurricane,Georges,22A,1998-09-21T00:00:00Z,NA,NA
Hurricane,Georges,23,1998-09-21T03:00:00Z,NA,NA
Hurricane,Georges,23A,1998-09-21T06:00:00Z,NA,NA
Hurricane,Georges,24,1998-09-21T09:00:00Z,NA,NA
Hurricane,Georges,24A,1998-09-21T12:00:00Z,NA,NA
Hurricane,Georges,25,1998-09-21T15:00:00Z,NA,NA
Hurricane,Georges,25A,1998-09-21T17:00:00Z,NA,NA
Hurricane,Georges,25A,1998-09-21T19:00:00Z,NA,NA
Hurricane,Georges,26,1998-09-21T21:00:00Z,NA,NA
Hurricane,Georges,26B,1998-09-22T01:00:00Z,NA,NA
Hurricane,Georges,27,1998-09-22T03:00:00Z,NA,NA
Hurricane,Georges,27A,1998-09-22T05:00:00Z,NA,NA
Hurricane,Georges,27B,1998-09-22T07:00:00Z,NA,NA
Hurricane,Georges,28,1998-09-22T09:00:00Z,NA,NA
Hurricane,Georges,28A,1998-09-22T11:00:00Z,NA,NA
Hurricane,Georges,29B,1998-09-22T13:00:00Z,NA,NA
Hurricane,Georges,29A,1998-09-22T18:00:00Z,NA,NA
Hurricane,Georges,30,1998-09-22T21:00:00Z,NA,NA
Hurricane,Georges,30A,1998-09-23T00:00:00Z,NA,NA
Hurricane,Georges,31,1998-09-23T03:00:00Z,NA,NA
Hurricane,Georges,31A,1998-09-23T06:00:00Z,NA,NA
Hurricane,Georges,32,1998-09-23T09:00:00Z,NA,NA
Hurricane,Georges,32A,1998-09-23T12:00:00Z,NA,NA
Hurricane,Georges,33,1998-09-23T15:00:00Z,NA,NA
Hurricane,Georges,33A,1998-09-23T18:00:00Z,NA,NA
Hurricane,Georges,34,1998-09-23T21:00:00Z,NA,NA
Hurricane,Georges,34A,1998-09-24T00:00:00Z,NA,NA
Hurricane,Georges,35,1998-09-24T03:00:00Z,NA,NA
Hurricane,Georges,36,1998-09-24T09:00:00Z,NA,NA
Hurricane,Georges,36A,1998-09-24T12:00:00Z,NA,NA
Hurricane,Georges,37,1998-09-24T15:00:00Z,NA,NA
Hurricane,Georges,37A,1998-09-24T18:00:00Z,NA,NA
Hurricane,Georges,38A,1998-09-25T00:00:00Z,NA,NA
Hurricane,Georges,39,1998-09-25T03:00:00Z,NA,NA
Hurricane,Georges,39A,1998-09-25T05:00:00Z,NA,NA
Hurricane,Georges,39B,1998-09-25T07:00:00Z,NA,NA
Hurricane,Georges,40,1998-09-25T09:00:00Z,NA,NA
Hurricane,Georges,40A,1998-09-25T11:00:00Z,NA,NA
Hurricane,Georges,40B,1998-09-25T13:00:00Z,NA,NA
Hurricane,Georges,41,1998-09-25T15:00:00Z,NA,NA
Hurricane,Georges,41A,1998-09-25T17:00:00Z,NA,NA
Hurricane,Georges,42B,1998-09-25T19:00:00Z,NA,NA
Hurricane,Georges,42,1998-09-25T21:00:00Z,NA,NA
Hurricane,Georges,42A,1998-09-26T00:00:00Z,NA,NA
Hurricane,Georges,43,1998-09-26T03:00:00Z,NA,NA
Hurricane,Georges,43A,1998-09-26T06:00:00Z,NA,NA
Hurricane,Georges,44,1998-09-26T09:00:00Z,NA,NA
Hurricane,Georges,44A,1998-09-26T12:00:00Z,NA,NA
Hurricane,Georges,45,1998-09-26T15:00:00Z,NA,NA
Hurricane,Georges,45A,1998-09-26T18:00:00Z,NA,NA
Hurricane,Georges,46,1998-09-26T21:00:00Z,NA,NA
