Key,Name,Wind,StartDate,EndDate
AL102000,Florence,70,2000-09-11T15:00:00Z,2000-09-17T21:00:00Z
AL102001,Humberto,90,2001-09-21T15:00:00Z,2001-09-27T21:00:00Z
AL102002,Isidore,110,2002-09-14T21:00:00Z,2002-09-26T21:00:00Z
AL102003,Fabian,125,2003-08-27T21:00:00Z,2003-09-08T15:00:00Z
AL102004,Ten,30,2004-09-09T09:00:00Z,2004-09-09T21:00:00Z
AL102005,Ten,30,2005-08-13T21:00:00Z,2005-08-14T15:00:00Z
AL102007,Ten,30,2007-09-21T15:00:00Z,2007-09-22T03:00:00Z
AL102008,Josephine,55,2008-09-02T09:00:00Z,2008-09-06T09:00:00Z
AL102009,Henri,45,2009-10-06T21:00:00Z,2009-10-08T21:00:00Z
AL102010,Hermine,50,2010-09-06T03:00:00Z,2010-09-08T03:00:00Z
AL102011,Ten,30,2011-08-25T09:00:00Z,2011-08-27T03:00:00Z
AL102012,Joyce,35,2012-08-22T15:00:00Z,2012-08-24T15:00:00Z
AL102013,Ingrid,75,2013-09-12T21:00:00Z,2013-09-17T09:00:00Z
AL102015,Ida,45,2015-09-18T15:00:00Z,2015-09-27T21:00:00Z
AL102016,Ian,55,2016-09-12T15:00:00Z,2016-09-16T15:00:00Z
AL111998,Karl,90,1998-09-23T21:00:00Z,1998-09-28T03:00:00Z
AL111999,Eleven,NA,1999-10-04T21:00:00Z,1999-10-06T21:00:00Z
AL112000,Gordon,65,2000-09-14T15:00:00Z,2000-09-18T15:00:00Z
AL112001,Iris,120,2001-10-04T21:00:00Z,2001-10-09T15:00:00Z
AL112002,Josephine,50,2002-09-17T21:00:00Z,2002-09-19T15:00:00Z
AL112003,Grace,35,2003-08-30T15:00:00Z,2003-08-31T15:00:00Z
AL112004,Jeanne,100,2004-09-13T21:00:00Z,2004-09-27T15:00:00Z
AL112005,Jose,45,2005-08-22T16:00:00Z,2005-08-23T15:00:00Z
AL112007,Jerry,40,2007-09-23T09:00:00Z,2007-09-25T03:00:00Z
